Importance,Category,Task
85,Core,"Wash dishes, glassware, flatware, pots, or pans, using dishwashers or by hand."
83,Core,"Place clean dishes, utensils, or cooking equipment in storage areas."
81,Core,"Maintain kitchen work areas, equipment, or utensils in clean and orderly condition."
70,Core,"Stock supplies, such as food or utensils, in serving stations, cupboards, refrigerators, or salad bars."
65,Core,Sweep or scrub floors.
65,Core,Clean garbage cans with water or steam.
64,Core,"Sort and remove trash, placing it in designated pickup areas."
72,Supplemental,Clean or prepare various foods for cooking or serving.
68,Supplemental,Set up banquet tables.
63,Supplemental,"Transfer supplies or equipment between storage and work areas, by hand or using hand trucks."
63,Supplemental,Receive and store supplies.
63,Supplemental,Prepare and package individual place settings.
54,Supplemental,Load or unload trucks that deliver or pick up food or supplies.
