Importance,Category,Task
88,Core,Serve customers in eating places that specialize in fast service and inexpensive carry-out food.
87,Core,"Accept payment from customers, and make change as necessary."
85,Core,"Request and record customer orders, and compute bills using cash registers, multicounting machines, or pencil and paper."
84,Core,"Clean and organize eating, service, and kitchen areas."
83,Core,Notify kitchen personnel of shortages or special orders.
83,Core,"Communicate with customers regarding orders, comments, and complaints."
82,Core,"Prepare daily food items, and cook simple foods and beverages, such as sandwiches, salads, soups, pizza, or coffee using proper safety precautions and sanitary measures."
80,Core,"Select food items from serving or storage areas and place them in dishes, on serving trays, or in takeout bags."
80,Core,Relay food orders to cooks.
78,Core,"Prepare and serve cold drinks, or frozen milk drinks or desserts, using drink-dispensing, milkshake, or frozen custard machines."
77,Core,Collect and return dirty dishes to the kitchen for washing.
76,Core,Perform personnel activities such as supervising and training employees.
76,Core,Monitor and order supplies or food items and restock as necessary to maintain inventory.
76,Core,Cook or re-heat food items such as french fries.
72,Core,"Wash dishes, glassware, and silverware after meals."
75,Supplemental,"Pack food, dishes, utensils, tablecloths, and accessories for transportation from catering or food preparation establishments to locations designated by customers."
72,Supplemental,Distribute food to servers.
71,Supplemental,"Plan, prepare, and deliver meals to individuals with special dietary needs."
70,Supplemental,Arrange tables and decorations according to instructions.
68,Supplemental,Provide caterers with assistance in food preparation or service.
61,Supplemental,Serve food and beverages to guests at banquets or other social functions.
