Importance,Category,Task
93,Core,"Keep accurate records of monetary exchanges, authorization forms, and transaction reconciliations."
93,Core,"Exchange money, credit, and casino chips, and make change for customers."
92,Core,Maintain cage security according to rules.
91,Core,Count money and audit money drawers.
89,Core,Reconcile daily summaries of transactions to balance books.
77,Core,Listen for jackpot alarm bells and issue payoffs to winners.
91,Supplemental,"Sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons."
91,Supplemental,Obtain customers' signatures on receipts when winnings exceed the amount held in a slot machine.
90,Supplemental,Calculate the value of chips won or lost by players.
87,Supplemental,Work in and monitor an assigned area on the casino floor where slot machines are located.
86,Supplemental,Accept credit applications and verify credit references to provide check-cashing authorization or to establish house credit accounts.
83,Supplemental,Furnish change persons with a money bank at the start of each shift.
74,Supplemental,"Perform minor repairs on slot machines, such as clearing coin jams."
