Importance,Category,Task
96,Core,"Collect money from customers, make change, and record transactions on customer receipts."
93,Core,"Drive trucks to deliver such items as food, medical supplies, or newspapers."
87,Core,Write customer orders and sales contracts according to company guidelines.
85,Core,Inform regular customers of new products or services and price changes.
74,Core,Listen to and resolve customers' complaints regarding products or services.
84,Supplemental,Record sales or delivery information on daily sales or delivery record.
81,Supplemental,Call on prospective customers to explain company services or to solicit new business.
77,Supplemental,Arrange merchandise and sales promotion displays or issue sales promotion materials to customers.
73,Supplemental,Maintain trucks and food-dispensing equipment and clean inside of machines that dispense food or beverages.
72,Supplemental,"Review lists of dealers, customers, or station drops and load trucks."
67,Supplemental,"Sell food specialties, such as sandwiches and beverages, to office workers and patrons of sports events."
36,Supplemental,"Collect coins from vending machines, refill machines, and remove aged merchandise."
