Component,Description
Title,Job Zone Three: Medium Preparation Needed
Education,"Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
Related Experience,"Previous work-related skill, knowledge, or experience is required for these occupations. For example, an electrician must have completed three or four years of apprenticeship or several years of vocational training, and often must have passed a licensing exam, in order to perform the job."
Job Training,Employees in these occupations usually need one or two years of training involving both on-the-job experience and informal training with experienced workers. A recognized apprenticeship program may be associated with these occupations.
Job Zone Examples,"These occupations usually involve using communication and organizational skills to coordinate, supervise, manage, or train others to accomplish goals. Examples include food service managers, electricians, agricultural technicians, legal secretaries, interviewers, and insurance sales agents."
SVP Range,(6.0 to < 7.0)
