Importance,Category,Task
93,Core,"Train, exercise, and attend dance classes to maintain high levels of technical proficiency, physical ability, and physical fitness."
91,Core,Study and practice dance moves required in roles.
90,Core,Harmonize body movements to rhythm of musical accompaniment.
82,Core,"Perform classical, modern, or acrobatic dances in productions, expressing stories, rhythm, and sound with their bodies."
81,Core,Collaborate with choreographers in order to refine or modify dance steps.
81,Core,Coordinate dancing with that of partners or dance ensembles.
76,Core,"Attend costume fittings, photography sessions, and makeup calls associated with dance performances."
74,Core,Audition for dance roles or for membership in dance companies.
74,Core,"Develop self-understanding of physical capabilities and limitations, and choose dance styles accordingly."
66,Core,Monitor the field of dance to remain aware of current trends and innovations.
65,Core,Teach dance students.
57,Core,Devise and choreograph dance for self or others.
68,Supplemental,"Perform in productions, singing or acting in addition to dancing, if required."
