Importance,Category,Task
89,Core,"Serve food, beverages, or desserts to customers in such settings as take-out counters of restaurants or lunchrooms, business or industrial establishments, hotel rooms, and cars."
87,Core,"Prepare bills for food, using cash registers, calculators, or adding machines, and accept payment or make change."
87,Core,"Cook food or prepare food items, such as sandwiches, salads, and ice cream dishes, using standard formulas or following directions."
86,Core,"Perform cleaning duties such as sweeping, mopping, and washing dishes, to keep equipment and facilities sanitary."
85,Core,Balance receipts and payments in cash registers.
79,Core,"Wrap menu item such as sandwiches, hot entrees, and desserts for serving or for takeout."
77,Core,"Scrub and polish counters, steam tables, and other equipment, and clean glasses, dishes, and fountain equipment."
75,Core,Replenish foods at serving stations.
70,Core,"Brew coffee and tea, and fill containers with requested beverages."
87,Supplemental,"Take customers' orders and write ordered items on tickets, giving ticket stubs to customers when needed to identify filled orders."
83,Supplemental,Order items needed to replenish supplies.
77,Supplemental,"Serve salads, vegetables, meat, breads, and cocktails, ladle soups and sauces, portion desserts, and fill beverage cups and glasses."
76,Supplemental,Set up dining areas for meals and clear them following meals.
74,Supplemental,Carve meat.
71,Supplemental,"Deliver orders to kitchens, and pick up and serve food when it is ready."
67,Supplemental,"Add relishes and garnishes to food orders, according to instructions."
66,Supplemental,Arrange reservations for patrons of dining establishments.
