Importance,Category,Task
98,Core,Follow all gaming regulations.
94,Core,Maintain confidentiality of customers' transactions.
94,Core,Count funds and reconcile daily summaries of transactions to balance books.
94,Core,"Convert gaming checks, coupons, tokens, or coins to currency for gaming patrons."
93,Core,Maintain cage security.
92,Core,"Determine cash requirements for windows and order all necessary currency, coins, or chips."
89,Core,"Verify accuracy of reports, such as authorization forms, transaction reconciliations, or exchange summary reports."
89,Core,Cash checks and process credit card advances for patrons.
88,Core,"Sell gambling chips, tokens, or tickets to patrons or to other workers for resale to patrons."
88,Core,"Perform removal and rotation of cash, coin, or chip inventories as necessary."
87,Core,"Supply currency, coins, chips, or gaming checks to other departments as needed."
83,Core,Provide assistance in the training and orientation of new cashiers.
83,Core,Provide customers with information about casino operations.
92,Supplemental,"Record casino exchange transactions, using cash registers."
92,Supplemental,"Prepare bank deposits, balancing assigned funds as necessary."
88,Supplemental,"Prepare reports, including assignment of company funds or recording of department revenues."
77,Supplemental,Establish new computer accounts.
